2026-05-09 23:13:32,266 INFO    MainThread:93370 [wandb_setup.py:_flush():81] Current SDK version is 0.26.1
2026-05-09 23:13:32,267 INFO    MainThread:93370 [wandb_setup.py:_flush():81] Configure stats pid to 93370
2026-05-09 23:13:32,267 INFO    MainThread:93370 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-05-09 23:13:32,267 INFO    MainThread:93370 [wandb_init.py:setup_run_log_directory():723] Logging user logs to /Users/ajthegreat/Documents/JazzMLProject/jazz_solo_generator/wandb/run-20260509_231332-somb2kz2/logs/debug.log
2026-05-09 23:13:32,267 INFO    MainThread:93370 [wandb_init.py:setup_run_log_directory():724] Logging internal logs to /Users/ajthegreat/Documents/JazzMLProject/jazz_solo_generator/wandb/run-20260509_231332-somb2kz2/logs/debug-internal.log
2026-05-09 23:13:32,267 INFO    MainThread:93370 [wandb_init.py:init():850] calling init triggers
2026-05-09 23:13:32,267 INFO    MainThread:93370 [wandb_init.py:init():855] wandb.init called with sweep_config: {}
config: {'d_model': 256, 'nhead': 8, 'num_layers': 4, 'dim_feedforward': 512, 'dropout': 0.25, 'label_smoothing': 0.1, 'harmonic_weight': 0.15, 'lr': 0.0003, 'scheduler': 'cosine', 'T_max': 60, 'eta_min': 1e-05, 'weight_decay': 0.0001, 'batch_size': 256, 'epochs': 60, 'patience': 15, 'transposition_keys': 12, 'dataset': 'phrases_all.json', 'cross_phrase_context': True, 'pos_in_phrase_embed': True, 'train_samples': 1773398, 'val_samples': 443350, '_wandb': {}}
2026-05-09 23:13:32,267 INFO    MainThread:93370 [wandb_init.py:init():898] starting backend
2026-05-09 23:13:33,007 INFO    MainThread:93370 [wandb_init.py:init():913] sending inform_init request
2026-05-09 23:13:33,513 INFO    MainThread:93370 [wandb_init.py:init():918] backend started and connected
2026-05-09 23:13:33,532 INFO    MainThread:93370 [wandb_init.py:init():988] updated telemetry
2026-05-09 23:13:33,622 INFO    MainThread:93370 [wandb_init.py:init():1011] communicating run to backend with 90.0 second timeout
2026-05-09 23:13:34,168 INFO    MainThread:93370 [wandb_init.py:init():1056] starting run threads in backend
2026-05-09 23:13:34,235 INFO    MainThread:93370 [wandb_run.py:_console_start():2554] atexit reg
2026-05-09 23:13:34,235 INFO    MainThread:93370 [wandb_run.py:_redirect():2403] redirect: wrap_raw
2026-05-09 23:13:34,235 INFO    MainThread:93370 [wandb_run.py:_redirect():2472] Wrapping output streams.
2026-05-09 23:13:34,235 INFO    MainThread:93370 [wandb_run.py:_redirect():2495] Redirects installed.
2026-05-09 23:13:34,238 INFO    MainThread:93370 [wandb_init.py:init():1094] run started, returning control to user process
